country,year,sex,age,suicides_no,population,taux_suicide_100k,decennie
Albania,1987,Femme,15-24 ans,14,289700,4.8325854332067655,1980-1989
Albania,1987,Femme,25-34 ans,4,257200,1.5552099533437014,1980-1989
Albania,1987,Femme,35-54 ans,6,278800,2.1520803443328553,1980-1989
Albania,1987,Femme,5-14 ans,0,311000,0,1980-1989
Albania,1987,Femme,55-74 ans,0,144600,0,1980-1989
Albania,1987,Femme,75+ ans,1,35600,2.808988764044944,1980-1989
Albania,1987,Homme,15-24 ans,21,312900,6.711409395973154,1980-1989
Albania,1987,Homme,25-34 ans,9,274300,3.2810791104629966,1980-1989
Albania,1987,Homme,35-54 ans,16,308000,5.194805194805195,1980-1989
Albania,1987,Homme,5-14 ans,0,338200,0,1980-1989
Albania,1987,Homme,55-74 ans,1,137500,0.7272727272727272,1980-1989
Albania,1987,Homme,75+ ans,1,21800,4.587155963302752,1980-1989
Albania,1988,Femme,15-24 ans,8,295600,2.706359945872801,1980-1989
Albania,1988,Femme,25-34 ans,5,262400,1.9054878048780488,1980-1989
Albania,1988,Femme,35-54 ans,4,284500,1.40597539543058,1980-1989
Albania,1988,Femme,5-14 ans,0,317200,0,1980-1989
Albania,1988,Femme,55-74 ans,3,147500,2.0338983050847457,1980-1989
Albania,1988,Femme,75+ ans,2,36400,5.4945054945054945,1980-1989
Albania,1988,Homme,15-24 ans,17,319200,5.325814536340852,1980-1989
Albania,1988,Homme,25-34 ans,5,279900,1.7863522686673812,1980-1989
Albania,1988,Homme,35-54 ans,14,314100,4.457179242279529,1980-1989
Albania,1988,Homme,5-14 ans,0,345000,0,1980-1989
Albania,1988,Homme,55-74 ans,4,140200,2.8530670470756063,1980-1989
Albania,1988,Homme,75+ ans,1,22300,4.484304932735426,1980-1989
Albania,1989,Femme,15-24 ans,5,299900,1.6672224074691564,1980-1989
Albania,1989,Femme,25-34 ans,2,266300,0.7510326699211416,1980-1989
Albania,1989,Femme,35-54 ans,7,288600,2.4255024255024256,1980-1989
Albania,1989,Femme,5-14 ans,0,321900,0,1980-1989
Albania,1989,Femme,55-74 ans,1,149600,0.6684491978609626,1980-1989
Albania,1989,Femme,75+ ans,0,37000,0,1980-1989
Albania,1989,Homme,15-24 ans,12,323500,3.7094281298299845,1980-1989
Albania,1989,Homme,25-34 ans,18,283600,6.346967559943582,1980-1989
Albania,1989,Homme,35-54 ans,15,318400,4.711055276381909,1980-1989
Albania,1989,Homme,5-14 ans,0,349700,0,1980-1989
Albania,1989,Homme,55-74 ans,6,142100,4.2223786066150595,1980-1989
Albania,1989,Homme,75+ ans,2,22500,8.88888888888889,1980-1989
Albania,1992,Femme,15-24 ans,7,292400,2.3939808481532148,1990-1999
Albania,1992,Femme,25-34 ans,4,267400,1.4958863126402393,1990-1999
Albania,1992,Femme,35-54 ans,2,323100,0.6190034045187248,1990-1999
Albania,1992,Femme,5-14 ans,0,336700,0,1990-1999
Albania,1992,Femme,55-74 ans,1,164900,0.6064281382656155,1990-1999
Albania,1992,Femme,75+ ans,0,38700,0,1990-1999
Albania,1992,Homme,15-24 ans,9,263700,3.4129692832764507,1990-1999
Albania,1992,Homme,25-34 ans,7,245500,2.8513238289205702,1990-1999
Albania,1992,Homme,35-54 ans,12,343800,3.4904013961605584,1990-1999
Albania,1992,Homme,5-14 ans,0,362900,0,1990-1999
Albania,1992,Homme,55-74 ans,5,159500,3.134796238244514,1990-1999
Albania,1992,Homme,75+ ans,0,23900,0,1990-1999
Albania,1993,Femme,15-24 ans,10,285300,3.505082369435682,1990-1999
Albania,1993,Femme,25-34 ans,7,261800,2.6737967914438503,1990-1999
Albania,1993,Femme,35-54 ans,7,331200,2.1135265700483092,1990-1999
Albania,1993,Femme,5-14 ans,1,340300,0.29385836027034973,1990-1999
